Sl.No.	OriginalName	DescriptiveName
1	subject	subject
2	tBodyAcc-mean()-X	meanTimeBasedBodyAccelerationAlongXaxis
3	tBodyAcc-mean()-Y	meanTimeBasedBodyAccelerationAlongYaxis
4	tBodyAcc-mean()-Z	meanTimeBasedBodyAccelerationAlongZaxis
5	tBodyAcc-std()-X	standardDeviationOfTimeBasedBodyAccelerationAlongXaxis
6	tBodyAcc-std()-Y	standardDeviationOfTimeBasedBodyAccelerationAlongYaxis
7	tBodyAcc-std()-Z	standardDeviationOfTimeBasedBodyAccelerationAlongZaxis
8	tGravityAcc-mean()-X	meanTimeBasedGravityAccelerationAlongXaxis
9	tGravityAcc-mean()-Y	meanTimeBasedGravityAccelerationAlongYaxis
10	tGravityAcc-mean()-Z	meanTimeBasedGravityAccelerationAlongZaxis
11	tGravityAcc-std()-X	standardDeviationOfTimeBasedGravityAccelerationAlongXaxis
12	tGravityAcc-std()-Y	standardDeviationOfTimeBasedGravityAccelerationAlongYaxis
13	tGravityAcc-std()-Z	standardDeviationOfTimeBasedGravityAccelerationAlongZaxis
14	tBodyAccJerk-mean()-X	meanTimeBasedBodyAccelerationJerkAlongXaxis
15	tBodyAccJerk-mean()-Y	meanTimeBasedBodyAccelerationJerkAlongYaxis
16	tBodyAccJerk-mean()-Z	meanTimeBasedBodyAccelerationJerkAlongZaxis
17	tBodyAccJerk-std()-X	standardDeviationOfTimeBasedBodyAccelerationJerkAlongXaxis
18	tBodyAccJerk-std()-Y	standardDeviationOfTimeBasedBodyAccelerationJerkAlongYaxis
19	tBodyAccJerk-std()-Z	standardDeviationOfTimeBasedBodyAccelerationJerkAlongZaxis
20	tBodyGyro-mean()-X	meanTimeBasedBodyGyroMeasureAlongXaxis
21	tBodyGyro-mean()-Y	meanTimeBasedBodyGyroMeasureAlongYaxis
22	tBodyGyro-mean()-Z	meanTimeBasedBodyGyroMeasureAlongZaxis
23	tBodyGyro-std()-X	standardDeviationOfTimeBasedBodyGyroMeasureAlongXaxis
24	tBodyGyro-std()-Y	standardDeviationOfTimeBasedBodyGyroMeasureAlongYaxis
25	tBodyGyro-std()-Z	standardDeviationOfTimeBasedBodyGyroMeasureAlongZaxis
26	tBodyGyroJerk-mean()-X	meanTimeBasedBodyGyroJerkMeasureAlongXaxis
27	tBodyGyroJerk-mean()-Y	meanTimeBasedBodyGyroJerkMeasureAlongYaxis
28	tBodyGyroJerk-mean()-Z	meanTimeBasedBodyGyroJerkMeasureAlongZaxis
29	tBodyGyroJerk-std()-X	standardDeviationOfTimeBasedBodyGyroJerkMeasureAlongXaxis
30	tBodyGyroJerk-std()-Y	standardDeviationOfTimeBasedBodyGyroJerkMeasureAlongYaxis
31	tBodyGyroJerk-std()-Z	standardDeviationOfTimeBasedBodyGyroJerkMeasureAlongZaxis
32	tBodyAccMag-mean()	meanTimeBasedBodyAccelerationMagnitude
33	tBodyAccMag-std()	standardDeviationOfTimeBasedBodyAccelerationMagnitude
34	tGravityAccMag-mean()	meanTimeBasedGravityAccelerationMagnitude
35	tGravityAccMag-std()	standardDeviationOfTimeBasedGravityAccelerationMagnitude
36	tBodyAccJerkMag-mean()	meanTimeBasedBodyAccelerationJerkMagnitude
37	tBodyAccJerkMag-std()	standardDeviationOfTimeBasedBodyAccelerationJerkMagnitude
38	tBodyGyroMag-mean()	meanTimeBasedBodyGyroMagnitude
39	tBodyGyroMag-std()	standardDeviationOfTimeBasedBodyGyroMagnitude
40	tBodyGyroJerkMag-mean()	meanTimeBasedBodyGyroJrkMagnitude
41	tBodyGyroJerkMag-std()	standardDeviationOfTimeBasedBodyGyroJerkMagnitude
42	fBodyAcc-mean()-X	meanFrequencyBasedBodyAccelerationAlongXaxis
43	fBodyAcc-mean()-Y	meanFrequencyBasedBodyAccelerationAlongYaxis
44	fBodyAcc-mean()-Z	meanFrequencyBasedBodyAccelerationAlongZaxis
45	fBodyAcc-std()-X	standardDeviationOfFrequencyBasedBodyAccelerationAlongXaxis
46	fBodyAcc-std()-Y	standardDeviationOfFrequencyBasedBodyAccelerationAlongYaxis
47	fBodyAcc-std()-Z	standardDeviationOfFrequencyBasedBodyAccelerationAlongZaxis
48	fBodyAccJerk-mean()-X	meanFrequencyBasedBodyAccelerationJerkAlongXaxis
